/usr/bin/python3.5 /home/david/PycharmProjects/TestPycharm/questionSoftmax0816.py
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
WARNING:tensorflow:From /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_should_use.py:175: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
2017-10-16 14:58:00.010721: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
step 498, training accuracy :0.96
step 499, training accuracy :0.92
step 500, training accuracy :0.96
step 501, training accuracy :0.92
step 502, training accuracy :0.96
step 503, training accuracy :0.9
step 504, training accuracy :0.98
step 505, training accuracy :0.92
step 506, training accuracy :0.98
step 507, training accuracy :0.9
step 508, training accuracy :0.92
step 509, training accuracy :0.9
step 510, training accuracy :0.9
step 511, training accuracy :0.88
step 512, training accuracy :0.98
step 513, training accuracy :0.96
step 514, training accuracy :0.98
step 515, training accuracy :0.9
step 516, training accuracy :0.96
step 517, training accuracy :0.96
step 518, training accuracy :0.96
step 519, training accuracy :0.94
step 520, training accuracy :0.92
step 521, training accuracy :0.94
step 522, training accuracy :0.98
step 523, training accuracy :0.92
step 524, training accuracy :0.9
step 525, training accuracy :1.0
step 526, training accuracy :0.92
step 527, training accuracy :0.9
step 528, training accuracy :0.94
step 529, training accuracy :0.96
step 530, training accuracy :0.94
step 531, training accuracy :0.92
step 532, training accuracy :0.94
step 533, training accuracy :0.92
step 534, training accuracy :0.9
step 535, training accuracy :0.92
step 536, training accuracy :0.9
step 537, training accuracy :0.94
step 538, training accuracy :0.9
step 539, training accuracy :0.94
step 540, training accuracy :0.9
step 541, training accuracy :0.94
step 542, training accuracy :0.88
step 543, training accuracy :0.96
step 544, training accuracy :0.98
step 545, training accuracy :0.96
step 546, training accuracy :0.94
step 547, training accuracy :0.94
step 548, training accuracy :0.96
step 549, training accuracy :0.98
step 550, training accuracy :0.96
step 551, training accuracy :0.92
step 552, training accuracy :0.92
step 553, training accuracy :1.0
step 554, training accuracy :0.92
step 555, training accuracy :0.92
step 556, training accuracy :0.9
step 557, training accuracy :0.94
step 558, training accuracy :0.92
step 559, training accuracy :0.92
step 560, training accuracy :0.96
step 561, training accuracy :1.0
step 562, training accuracy :0.96
step 563, training accuracy :0.92
step 564, training accuracy :0.92
step 565, training accuracy :0.98
step 566, training accuracy :0.98
step 567, training accuracy :0.98
step 568, training accuracy :0.94
step 569, training accuracy :0.96
step 570, training accuracy :0.94
step 571, training accuracy :0.94
step 572, training accuracy :0.88
step 573, training accuracy :0.9
step 574, training accuracy :0.98
step 575, training accuracy :0.9
step 576, training accuracy :0.9
step 577, training accuracy :0.94
step 578, training accuracy :0.92
step 579, training accuracy :0.92
step 580, training accuracy :0.94
step 581, training accuracy :0.98
step 582, training accuracy :0.98
step 583, training accuracy :0.94
step 584, training accuracy :0.86
step 585, training accuracy :0.94
step 586, training accuracy :0.88
step 587, training accuracy :0.96
step 588, training accuracy :0.94
step 589, training accuracy :0.94
step 590, training accuracy :0.98
step 591, training accuracy :0.94
step 592, training accuracy :0.94
step 593, training accuracy :0.9
step 594, training accuracy :1.0
step 595, training accuracy :0.98
step 596, training accuracy :0.94
step 597, training accuracy :0.98
step 598, training accuracy :0.96
step 599, training accuracy :1.0
step 600, training accuracy :0.94
step 601, training accuracy :0.98
step 602, training accuracy :0.94
step 603, training accuracy :0.96
step 604, training accuracy :0.92
step 605, training accuracy :0.94
step 606, training accuracy :0.82
step 607, training accuracy :0.94
step 608, training accuracy :0.98
step 609, training accuracy :0.96
step 610, training accuracy :0.94
step 611, training accuracy :0.98
step 612, training accuracy :1.0
step 613, training accuracy :0.9
step 614, training accuracy :1.0
step 615, training accuracy :0.98
step 616, training accuracy :0.98
step 617, training accuracy :0.96
step 618, training accuracy :0.92
step 619, training accuracy :1.0
step 620, training accuracy :0.96
step 621, training accuracy :0.94
step 622, training accuracy :0.92
step 623, training accuracy :0.92
step 624, training accuracy :0.98
step 625, training accuracy :0.94
step 626, training accuracy :0.94
step 627, training accuracy :0.96
step 628, training accuracy :0.92
step 629, training accuracy :0.98
step 630, training accuracy :0.98
step 631, training accuracy :0.96
step 632, training accuracy :0.9
step 633, training accuracy :1.0
step 634, training accuracy :0.92
step 635, training accuracy :0.98
step 636, training accuracy :0.98
step 637, training accuracy :0.98
step 638, training accuracy :0.96
step 639, training accuracy :0.88
step 640, training accuracy :0.94
step 641, training accuracy :0.96
step 642, training accuracy :1.0
step 643, training accuracy :0.94
step 644, training accuracy :0.92
step 645, training accuracy :0.98
step 646, training accuracy :0.98
step 647, training accuracy :0.96
step 648, training accuracy :0.96
step 649, training accuracy :0.94
step 650, training accuracy :1.0
step 651, training accuracy :0.94
step 652, training accuracy :0.92
step 653, training accuracy :0.98
step 654, training accuracy :0.9
step 655, training accuracy :0.94
step 656, training accuracy :0.9
step 657, training accuracy :0.92
step 658, training accuracy :0.96
step 659, training accuracy :0.92
step 660, training accuracy :0.9
step 661, training accuracy :1.0
step 662, training accuracy :0.96
step 663, training accuracy :0.96
step 664, training accuracy :0.94
step 665, training accuracy :1.0
step 666, training accuracy :0.96
step 667, training accuracy :0.94
step 668, training accuracy :0.94
step 669, training accuracy :0.94
step 670, training accuracy :0.9
step 671, training accuracy :0.92
step 672, training accuracy :0.94
step 673, training accuracy :1.0
step 674, training accuracy :0.98
step 675, training accuracy :0.98
step 676, training accuracy :0.98
step 677, training accuracy :0.9
step 678, training accuracy :0.92
step 679, training accuracy :0.96
step 680, training accuracy :1.0
step 681, training accuracy :0.94
step 682, training accuracy :0.92
step 683, training accuracy :1.0
step 684, training accuracy :0.92
step 685, training accuracy :0.92
step 686, training accuracy :0.92
step 687, training accuracy :0.96
step 688, training accuracy :0.94
step 689, training accuracy :0.98
step 690, training accuracy :0.9
step 691, training accuracy :0.98
step 692, training accuracy :0.96
step 693, training accuracy :0.86
step 694, training accuracy :0.94
step 695, training accuracy :0.92
step 696, training accuracy :0.98
step 697, training accuracy :1.0
step 698, training accuracy :0.96
step 699, training accuracy :0.86
step 700, training accuracy :0.96
step 701, training accuracy :0.96
step 702, training accuracy :0.92
step 703, training accuracy :0.94
step 704, training accuracy :0.94
step 705, training accuracy :0.92
step 706, training accuracy :0.92
step 707, training accuracy :0.9
step 708, training accuracy :0.9
step 709, training accuracy :0.92
step 710, training accuracy :0.86
step 711, training accuracy :0.98
step 712, training accuracy :0.98
step 713, training accuracy :0.9
step 714, training accuracy :0.98
step 715, training accuracy :0.9
step 716, training accuracy :0.96
step 717, training accuracy :0.98
step 718, training accuracy :0.96
step 719, training accuracy :0.96
step 720, training accuracy :0.92
step 721, training accuracy :1.0
step 722, training accuracy :0.98
step 723, training accuracy :0.98
step 724, training accuracy :0.98
step 725, training accuracy :0.94
step 726, training accuracy :0.94
step 727, training accuracy :0.94
step 728, training accuracy :0.94
step 729, training accuracy :0.9
step 730, training accuracy :0.98
step 731, training accuracy :0.94
step 732, training accuracy :0.96
step 733, training accuracy :0.94
step 734, training accuracy :0.88
step 735, training accuracy :1.0
step 736, training accuracy :0.98
step 737, training accuracy :0.96
step 738, training accuracy :1.0
step 739, training accuracy :0.94
step 740, training accuracy :0.98
step 741, training accuracy :0.96
step 742, training accuracy :0.96
step 743, training accuracy :0.94
step 744, training accuracy :0.84
step 745, training accuracy :0.92
step 746, training accuracy :0.92
step 747, training accuracy :0.92
step 748, training accuracy :0.88
step 749, training accuracy :0.92
step 750, training accuracy :0.98
step 751, training accuracy :0.92
step 752, training accuracy :0.92
step 753, training accuracy :0.96
step 754, training accuracy :0.96
step 755, training accuracy :0.98
step 756, training accuracy :0.9
step 757, training accuracy :0.94
step 758, training accuracy :0.96
step 759, training accuracy :0.94
step 760, training accuracy :0.94
step 761, training accuracy :0.94
step 762, training accuracy :0.96
step 763, training accuracy :0.92
step 764, training accuracy :0.92
step 765, training accuracy :0.96
step 766, training accuracy :0.94
step 767, training accuracy :0.94
step 768, training accuracy :0.96
step 769, training accuracy :0.94
step 770, training accuracy :0.94
step 771, training accuracy :0.96
step 772, training accuracy :0.88
step 773, training accuracy :0.92
step 774, training accuracy :0.94
step 775, training accuracy :0.96
step 776, training accuracy :0.96
step 777, training accuracy :0.9
step 778, training accuracy :0.92
step 779, training accuracy :0.96
step 780, training accuracy :0.94
step 781, training accuracy :0.88
step 782, training accuracy :0.98
step 783, training accuracy :0.98
step 784, training accuracy :0.92
step 785, training accuracy :0.98
step 786, training accuracy :0.98
step 787, training accuracy :0.94
step 788, training accuracy :0.94
step 789, training accuracy :0.94
step 790, training accuracy :0.98
step 791, training accuracy :0.94
step 792, training accuracy :0.98
step 793, training accuracy :0.98
step 794, training accuracy :0.94
step 795, training accuracy :0.96
step 796, training accuracy :0.98
step 797, training accuracy :0.96
step 798, training accuracy :0.98
step 799, training accuracy :0.92
step 800, training accuracy :0.96
step 801, training accuracy :0.94
step 802, training accuracy :0.88
step 803, training accuracy :0.9
step 804, training accuracy :0.96
step 805, training accuracy :0.98
step 806, training accuracy :0.96
step 807, training accuracy :0.96
step 808, training accuracy :0.94
step 809, training accuracy :0.94
step 810, training accuracy :0.92
step 811, training accuracy :0.98
step 812, training accuracy :0.96
step 813, training accuracy :0.96
step 814, training accuracy :0.96
step 815, training accuracy :0.96
step 816, training accuracy :0.94
step 817, training accuracy :0.98
step 818, training accuracy :0.94
step 819, training accuracy :0.98
step 820, training accuracy :0.96
step 821, training accuracy :0.96
step 822, training accuracy :0.94
step 823, training accuracy :0.94
step 824, training accuracy :0.98
step 825, training accuracy :1.0
step 826, training accuracy :0.98
step 827, training accuracy :0.98
step 828, training accuracy :0.86
step 829, training accuracy :0.96
step 830, training accuracy :0.9
step 831, training accuracy :0.98
step 832, training accuracy :0.96
step 833, training accuracy :0.96
step 834, training accuracy :0.98
step 835, training accuracy :0.94
step 836, training accuracy :0.94
step 837, training accuracy :0.98
step 838, training accuracy :0.9
step 839, training accuracy :0.94
step 840, training accuracy :0.94
step 841, training accuracy :0.96
step 842, training accuracy :0.98
step 843, training accuracy :0.96
step 844, training accuracy :0.98
step 845, training accuracy :1.0
step 846, training accuracy :0.98
step 847, training accuracy :0.96
step 848, training accuracy :0.92
step 849, training accuracy :0.92
step 850, training accuracy :0.9
step 851, training accuracy :0.94
step 852, training accuracy :0.94
step 853, training accuracy :0.98
step 854, training accuracy :0.96
step 855, training accuracy :0.92
step 856, training accuracy :0.92
step 857, training accuracy :0.94
step 858, training accuracy :0.9
step 859, training accuracy :0.9
step 860, training accuracy :0.94
step 861, training accuracy :0.98
step 862, training accuracy :0.9
step 863, training accuracy :0.98
step 864, training accuracy :0.96
step 865, training accuracy :0.98
step 866, training accuracy :1.0
step 867, training accuracy :0.98
step 868, training accuracy :0.96
step 869, training accuracy :0.98
step 870, training accuracy :0.94
step 871, training accuracy :0.92
step 872, training accuracy :1.0
step 873, training accuracy :0.98
step 874, training accuracy :1.0
step 875, training accuracy :0.96
step 876, training accuracy :0.9
step 877, training accuracy :0.96
step 878, training accuracy :1.0
step 879, training accuracy :0.98
step 880, training accuracy :0.96
step 881, training accuracy :0.94
step 882, training accuracy :0.94
step 883, training accuracy :0.98
step 884, training accuracy :0.98
step 885, training accuracy :1.0
step 886, training accuracy :0.94
step 887, training accuracy :0.96
step 888, training accuracy :0.94
step 889, training accuracy :0.94
step 890, training accuracy :0.94
step 891, training accuracy :0.88
step 892, training accuracy :0.98
step 893, training accuracy :0.94
step 894, training accuracy :0.96
step 895, training accuracy :0.92
step 896, training accuracy :0.94
step 897, training accuracy :0.96
step 898, training accuracy :0.94
step 899, training accuracy :0.94
step 900, training accuracy :0.94
step 901, training accuracy :0.96
step 902, training accuracy :0.96
step 903, training accuracy :0.98
step 904, training accuracy :0.96
step 905, training accuracy :0.98
step 906, training accuracy :0.94
step 907, training accuracy :0.98
step 908, training accuracy :0.94
step 909, training accuracy :0.96
step 910, training accuracy :0.92
step 911, training accuracy :0.92
step 912, training accuracy :0.94
step 913, training accuracy :0.92
step 914, training accuracy :0.98
step 915, training accuracy :0.9
step 916, training accuracy :0.98
step 917, training accuracy :0.96
step 918, training accuracy :0.96
step 919, training accuracy :0.92
step 920, training accuracy :0.96
step 921, training accuracy :0.98
step 922, training accuracy :0.96
step 923, training accuracy :0.9
