traing iter: 6, test accuracy : 0.6399728655815125, loss : 1.4386690855026245
traing iter: 46, test accuracy : 0.8554462194442749, loss : 0.9434001445770264
traing iter: 47, test accuracy : 0.8540889024734497, loss : 0.9524906873703003
traing iter: 48, test accuracy : 0.8836104273796082, loss : 0.8425829410552979
traing iter: 49, test accuracy : 0.8747879266738892, loss : 0.8453088402748108
traing iter: 50, test accuracy : 0.8788598775863647, loss : 0.8331284523010254
traing iter: 51, test accuracy : 0.8907363414764404, loss : 0.8163275122642517
traing iter: 52, test accuracy : 0.870037317276001, loss : 0.8322043418884277
traing iter: 53, test accuracy : 0.8669833540916443, loss : 0.877597451210022
traing iter: 54, test accuracy : 0.8893790245056152, loss : 0.8060311079025269
traing iter: 55, test accuracy : 0.8825924396514893, loss : 0.8139183521270752
traing iter: 56, test accuracy : 0.8832710981369019, loss : 0.8135498762130737
traing iter: 57, test accuracy : 0.8815745115280151, loss : 0.8124428391456604
traing iter: 58, test accuracy : 0.8903970122337341, loss : 0.8218024373054504
traing iter: 59, test accuracy : 0.870037317276001, loss : 0.9143061637878418
traing iter: 60, test accuracy : 0.88802170753479, loss : 0.8084182143211365
traing iter: 61, test accuracy : 0.8829317688941956, loss : 0.8370457887649536
traing iter: 62, test accuracy : 0.8829317688941956, loss : 0.8290401697158813
traing iter: 63, test accuracy : 0.8815745115280151, loss : 0.8248706459999084
traing iter: 64, test accuracy : 0.8629114627838135, loss : 0.9338356256484985
traing iter: 65, test accuracy : 0.88802170753479, loss : 0.8282186985015869
traing iter: 66, test accuracy : 0.8717339634895325, loss : 0.8655033111572266
traing iter: 67, test accuracy : 0.8771632313728333, loss : 0.8166892528533936
traing iter: 68, test accuracy : 0.8707159757614136, loss : 0.9152410626411438
traing iter: 69, test accuracy : 0.8781812191009521, loss : 0.8373031616210938
traing iter: 70, test accuracy : 0.8686800003051758, loss : 0.9441655874252319
traing iter: 71, test accuracy : 0.8371224999427795, loss : 0.9869081974029541
traing iter: 72, test accuracy : 0.8506956100463867, loss : 0.926398754119873
traing iter: 73, test accuracy : 0.8483203053474426, loss : 0.8899803161621094
traing iter: 74, test accuracy : 0.8473023176193237, loss : 1.00547194480896
traing iter: 75, test accuracy : 0.8313539028167725, loss : 0.9549676179885864
traing iter: 76, test accuracy : 0.8629114627838135, loss : 0.9135638475418091
traing iter: 77, test accuracy : 0.8473023176193237, loss : 0.9597122073173523
traing iter: 78, test accuracy : 0.879199206829071, loss : 0.8120840787887573
traing iter: 79, test accuracy : 0.8870037198066711, loss : 0.8054954409599304
traing iter: 80, test accuracy : 0.8771632313728333, loss : 0.7777241468429565
traing iter: 81, test accuracy : 0.8934509754180908, loss : 0.7826604247093201
traing iter: 82, test accuracy : 0.8971835970878601, loss : 0.7728794813156128
traing iter: 83, test accuracy : 0.8839497566223145, loss : 0.812109112739563
traing iter: 84, test accuracy : 0.88802170753479, loss : 0.8070147037506104
traing iter: 85, test accuracy : 0.8944689631462097, loss : 0.7678325176239014
traing iter: 86, test accuracy : 0.8931116461753845, loss : 0.777488648891449
traing iter: 87, test accuracy : 0.8870037198066711, loss : 0.8085383772850037
traing iter: 88, test accuracy : 0.8890396952629089, loss : 0.8155122995376587
traing iter: 89, test accuracy : 0.88802170753479, loss : 0.8004792332649231
traing iter: 90, test accuracy : 0.8897183537483215, loss : 0.8050457239151001
traing iter: 91, test accuracy : 0.8842890858650208, loss : 0.7841451168060303
traing iter: 92, test accuracy : 0.8798778653144836, loss : 0.8291795253753662
traing iter: 93, test accuracy : 0.882253110408783, loss : 0.7979472279548645
traing iter: 94, test accuracy : 0.8758059144020081, loss : 0.8330705165863037
traing iter: 95, test accuracy : 0.8859857320785522, loss : 0.8104855418205261
traing iter: 96, test accuracy : 0.8876823782920837, loss : 0.8186407089233398
traing iter: 97, test accuracy : 0.8785205483436584, loss : 0.8418193459510803
traing iter: 98, test accuracy : 0.8920936584472656, loss : 0.751405656337738
traing iter: 99, test accuracy : 0.8971835970878601, loss : 0.7493759393692017
traing iter: 100, test accuracy : 0.8924329876899719, loss : 0.751710832118988
traing iter: 101, test accuracy : 0.8937903046607971, loss : 0.7854222059249878
traing iter: 102, test accuracy : 0.8859857320785522, loss : 0.7496770620346069
traing iter: 103, test accuracy : 0.8839497566223145, loss : 0.8129290342330933
traing iter: 104, test accuracy : 0.8819137811660767, loss : 0.7673753499984741
traing iter: 105, test accuracy : 0.8673226833343506, loss : 0.9117646217346191
traing iter: 106, test accuracy : 0.8798778653144836, loss : 0.7888857126235962
traing iter: 107, test accuracy : 0.8859857320785522, loss : 0.7850826382637024
traing iter: 108, test accuracy : 0.8802171945571899, loss : 0.7672827243804932
traing iter: 109, test accuracy : 0.8893790245056152, loss : 0.768005907535553
traing iter: 110, test accuracy : 0.8873430490493774, loss : 0.7694510221481323
traing iter: 111, test accuracy : 0.8927723169326782, loss : 0.7533769607543945
traing iter: 112, test accuracy : 0.8934509754180908, loss : 0.7671552896499634
traing iter: 113, test accuracy : 0.8893790245056152, loss : 0.7697802186012268
traing iter: 114, test accuracy : 0.8897183537483215, loss : 0.7782530784606934
traing iter: 115, test accuracy : 0.8907363414764404, loss : 0.796341061592102
traing iter: 116, test accuracy : 0.8883610367774963, loss : 0.7874487638473511
traing iter: 117, test accuracy : 0.8937903046607971, loss : 0.7881721258163452
traing iter: 118, test accuracy : 0.8812351822853088, loss : 0.746058464050293
traing iter: 119, test accuracy : 0.8781812191009521, loss : 0.8312925100326538
traing iter: 120, test accuracy : 0.8754665851593018, loss : 0.7651335000991821
traing iter: 121, test accuracy : 0.8754665851593018, loss : 0.848771333694458
traing iter: 122, test accuracy : 0.8754665851593018, loss : 0.7334729433059692
traing iter: 123, test accuracy : 0.8469629883766174, loss : 0.940295398235321
traing iter: 124, test accuracy : 0.6756023168563843, loss : 1.7891576290130615
traing iter: 125, test accuracy : 0.6328469514846802, loss : 1.492129921913147
traing iter: 126, test accuracy : 0.7173396944999695, loss : 1.1098439693450928
traing iter: 127, test accuracy : 0.795045793056488, loss : 0.9843288064002991
traing iter: 128, test accuracy : 0.7444859147071838, loss : 1.019574761390686
traing iter: 129, test accuracy : 0.7936884760856628, loss : 0.9358700513839722
traing iter: 130, test accuracy : 0.8126908540725708, loss : 0.9086520671844482
traing iter: 131, test accuracy : 0.8191381096839905, loss : 0.8891410827636719
traing iter: 132, test accuracy : 0.8394978046417236, loss : 0.8481370806694031
traing iter: 133, test accuracy : 0.8618934750556946, loss : 0.7869951725006104
traing iter: 134, test accuracy : 0.866644024848938, loss : 0.7826766967773438
traing iter: 135, test accuracy : 0.8418731093406677, loss : 0.8437550663948059
traing iter: 136, test accuracy : 0.8751272559165955, loss : 0.7380126714706421
traing iter: 137, test accuracy : 0.8819137811660767, loss : 0.7319378852844238
traing iter: 138, test accuracy : 0.8673226833343506, loss : 0.7659209966659546
traing iter: 139, test accuracy : 0.8876823782920837, loss : 0.7232184410095215
traing iter: 140, test accuracy : 0.8863250613212585, loss : 0.7071049213409424
traing iter: 141, test accuracy : 0.885646402835846, loss : 0.7273392677307129
traing iter: 142, test accuracy : 0.8873430490493774, loss : 0.7190836668014526
traing iter: 143, test accuracy : 0.8883610367774963, loss : 0.726486086845398
traing iter: 144, test accuracy : 0.885646402835846, loss : 0.7337939739227295
traing iter: 145, test accuracy : 0.8870037198066711, loss : 0.7092463374137878
traing iter: 146, test accuracy : 0.8669833540916443, loss : 0.7530955076217651
traing iter: 147, test accuracy : 0.842212438583374, loss : 0.8465825319290161
traing iter: 148, test accuracy : 0.8775025606155396, loss : 0.718799352645874
traing iter: 149, test accuracy : 0.8917543292045593, loss : 0.6991074085235596
traing iter: 150, test accuracy : 0.8887003660202026, loss : 0.6974669694900513
traing iter: 151, test accuracy : 0.8924329876899719, loss : 0.6966812014579773
traing iter: 152, test accuracy : 0.8958262801170349, loss : 0.6985728740692139
traing iter: 153, test accuracy : 0.8965049386024475, loss : 0.6850177049636841
traing iter: 154, test accuracy : 0.8954869508743286, loss : 0.6879705190658569
traing iter: 155, test accuracy : 0.894808292388916, loss : 0.6934025287628174
traing iter: 156, test accuracy : 0.8917543292045593, loss : 0.7024543881416321
traing iter: 157, test accuracy : 0.8968442678451538, loss : 0.6800733804702759
traing iter: 158, test accuracy : 0.8954869508743286, loss : 0.6885979175567627
traing iter: 159, test accuracy : 0.8941296339035034, loss : 0.7032878398895264
traing iter: 160, test accuracy : 0.8931116461753845, loss : 0.7095911502838135
traing iter: 161, test accuracy : 0.8958262801170349, loss : 0.695641040802002
traing iter: 162, test accuracy : 0.8934509754180908, loss : 0.7031306624412537
traing iter: 163, test accuracy : 0.8968442678451538, loss : 0.6903519630432129
traing iter: 164, test accuracy : 0.8988802433013916, loss : 0.6845043897628784
traing iter: 165, test accuracy : 0.8988802433013916, loss : 0.6731096506118774
traing iter: 166, test accuracy : 0.8944689631462097, loss : 0.6968297958374023
traing iter: 167, test accuracy : 0.8961656093597412, loss : 0.6736823320388794
traing iter: 168, test accuracy : 0.9005768299102783, loss : 0.6854208707809448
traing iter: 169, test accuracy : 0.8934509754180908, loss : 0.6758979558944702
traing iter: 170, test accuracy : 0.8975229263305664, loss : 0.7023283839225769
traing iter: 171, test accuracy : 0.900237500667572, loss : 0.6652910113334656
traing iter: 172, test accuracy : 0.8802171945571899, loss : 0.754841148853302
traing iter: 173, test accuracy : 0.8992195725440979, loss : 0.6658653020858765
traing iter: 174, test accuracy : 0.8713946342468262, loss : 0.7491543889045715
traing iter: 175, test accuracy : 0.8788598775863647, loss : 0.7285923361778259
traing iter: 176, test accuracy : 0.8988802433013916, loss : 0.6657788753509521
traing iter: 177, test accuracy : 0.9022734761238098, loss : 0.6534469127655029
traing iter: 178, test accuracy : 0.9022734761238098, loss : 0.663787841796875
traing iter: 179, test accuracy : 0.9056667685508728, loss : 0.6490244269371033
traing iter: 180, test accuracy : 0.9073634147644043, loss : 0.6570194959640503
traing iter: 181, test accuracy : 0.9063454270362854, loss : 0.6669230461120605
traing iter: 182, test accuracy : 0.907024085521698, loss : 0.6578129529953003
traing iter: 183, test accuracy : 0.9039701223373413, loss : 0.6643586754798889
traing iter: 184, test accuracy : 0.907024085521698, loss : 0.6649949550628662
traing iter: 185, test accuracy : 0.9063454270362854, loss : 0.683490514755249
traing iter: 186, test accuracy : 0.903630793094635, loss : 0.6711647510528564
traing iter: 187, test accuracy : 0.9060060977935791, loss : 0.665480375289917
traing iter: 188, test accuracy : 0.9032914638519287, loss : 0.6608209609985352
traing iter: 189, test accuracy : 0.9019341468811035, loss : 0.6667925715446472
traing iter: 190, test accuracy : 0.9032914638519287, loss : 0.6752849817276001
traing iter: 191, test accuracy : 0.903630793094635, loss : 0.683974027633667
traing iter: 192, test accuracy : 0.9107567071914673, loss : 0.652036190032959
traing iter: 193, test accuracy : 0.9015948176383972, loss : 0.6734062433242798
traing iter: 194, test accuracy : 0.9046487808227539, loss : 0.6759605407714844
traing iter: 195, test accuracy : 0.9093993902206421, loss : 0.6474469304084778
traing iter: 196, test accuracy : 0.9005768299102783, loss : 0.6806433200836182
traing iter: 197, test accuracy : 0.9110960364341736, loss : 0.6471009254455566
traing iter: 198, test accuracy : 0.9090600609779358, loss : 0.670925498008728
traing iter: 199, test accuracy : 0.9083814024925232, loss : 0.6467102766036987
traing iter: 200, test accuracy : 0.9100780487060547, loss : 0.6523961424827576
traing iter: 201, test accuracy : 0.9087207317352295, loss : 0.6577085256576538
traing iter: 202, test accuracy : 0.9073634147644043, loss : 0.6761033535003662
traing iter: 203, test accuracy : 0.9046487808227539, loss : 0.6457701921463013
traing iter: 204, test accuracy : 0.907024085521698, loss : 0.659673273563385
traing iter: 205, test accuracy : 0.8778418898582458, loss : 0.7246649861335754
traing iter: 206, test accuracy : 0.891414999961853, loss : 0.7249953746795654
traing iter: 207, test accuracy : 0.8900576829910278, loss : 0.7082855701446533
traing iter: 208, test accuracy : 0.8836104273796082, loss : 0.7545039653778076
traing iter: 209, test accuracy : 0.8724126219749451, loss : 0.7026911377906799
traing iter: 210, test accuracy : 0.8551068902015686, loss : 0.8091335892677307
traing iter: 211, test accuracy : 0.8910756707191467, loss : 0.7198067903518677
traing iter: 212, test accuracy : 0.749236524105072, loss : 1.1063365936279297
traing iter: 213, test accuracy : 0.8092975616455078, loss : 0.9104487895965576
traing iter: 214, test accuracy : 0.8194774389266968, loss : 0.8099732398986816
traing iter: 215, test accuracy : 0.8517135977745056, loss : 0.717541515827179
traing iter: 216, test accuracy : 0.8608754873275757, loss : 0.7059385776519775
traing iter: 217, test accuracy : 0.8693586587905884, loss : 0.6986193656921387
traing iter: 218, test accuracy : 0.8618934750556946, loss : 0.7010524272918701
traing iter: 219, test accuracy : 0.8887003660202026, loss : 0.6503214836120605
traing iter: 220, test accuracy : 0.8859857320785522, loss : 0.6529016494750977
traing iter: 221, test accuracy : 0.885646402835846, loss : 0.6689015030860901
traing iter: 222, test accuracy : 0.8676620125770569, loss : 0.7226728200912476
traing iter: 223, test accuracy : 0.8819137811660767, loss : 0.70037841796875
traing iter: 224, test accuracy : 0.8887003660202026, loss : 0.6749556660652161
traing iter: 225, test accuracy : 0.8941296339035034, loss : 0.6611583232879639
traing iter: 226, test accuracy : 0.8941296339035034, loss : 0.6668713092803955
traing iter: 227, test accuracy : 0.8951476216316223, loss : 0.6704109907150269
traing iter: 228, test accuracy : 0.8961656093597412, loss : 0.6776963472366333
traing iter: 229, test accuracy : 0.8829317688941956, loss : 0.6914886236190796
traing iter: 230, test accuracy : 0.8931116461753845, loss : 0.6961089372634888
traing iter: 231, test accuracy : 0.8931116461753845, loss : 0.6852871179580688
traing iter: 232, test accuracy : 0.8934509754180908, loss : 0.6719213724136353
traing iter: 233, test accuracy : 0.8944689631462097, loss : 0.6671389937400818
traing iter: 234, test accuracy : 0.8934509754180908, loss : 0.6850523948669434
traing iter: 235, test accuracy : 0.8907363414764404, loss : 0.6892601251602173
traing iter: 236, test accuracy : 0.894808292388916, loss : 0.6728082299232483
traing iter: 237, test accuracy : 0.8941296339035034, loss : 0.6725243926048279
traing iter: 238, test accuracy : 0.8937903046607971, loss : 0.68515944480896
traing iter: 239, test accuracy : 0.8944689631462097, loss : 0.6839473843574524
traing iter: 240, test accuracy : 0.8968442678451538, loss : 0.6716629862785339
traing iter: 241, test accuracy : 0.9009161591529846, loss : 0.6712665557861328
traing iter: 242, test accuracy : 0.9015948176383972, loss : 0.678054690361023
traing iter: 243, test accuracy : 0.900237500667572, loss : 0.6777791976928711
traing iter: 244, test accuracy : 0.900237500667572, loss : 0.6817392110824585
traing iter: 245, test accuracy : 0.8975229263305664, loss : 0.6855709552764893
traing iter: 246, test accuracy : 0.898201584815979, loss : 0.6897741556167603
traing iter: 247, test accuracy : 0.8975229263305664, loss : 0.6954042911529541
traing iter: 248, test accuracy : 0.9012554883956909, loss : 0.6962140798568726
traing iter: 249, test accuracy : 0.8758059144020081, loss : 0.6914014220237732
traing iter: 250, test accuracy : 0.8890396952629089, loss : 0.693369448184967
traing iter: 251, test accuracy : 0.894808292388916, loss : 0.6738748550415039
traing iter: 252, test accuracy : 0.8998982310295105, loss : 0.6630350351333618
traing iter: 253, test accuracy : 0.8941296339035034, loss : 0.6822258234024048
traing iter: 254, test accuracy : 0.8924329876899719, loss : 0.6814578175544739
traing iter: 255, test accuracy : 0.894808292388916, loss : 0.680425226688385
traing iter: 256, test accuracy : 0.8893790245056152, loss : 0.7062672972679138
traing iter: 257, test accuracy : 0.894808292388916, loss : 0.6762055158615112
traing iter: 258, test accuracy : 0.8978622555732727, loss : 0.6696110367774963
traing iter: 259, test accuracy : 0.903630793094635, loss : 0.6711018085479736
traing iter: 260, test accuracy : 0.9015948176383972, loss : 0.6702131032943726
traing iter: 261, test accuracy : 0.9012554883956909, loss : 0.678962230682373
traing iter: 262, test accuracy : 0.8995589017868042, loss : 0.6926784515380859
traing iter: 263, test accuracy : 0.8992195725440979, loss : 0.6919002532958984
traing iter: 264, test accuracy : 0.9022734761238098, loss : 0.6920656561851501
traing iter: 265, test accuracy : 0.8927723169326782, loss : 0.6921087503433228
traing iter: 266, test accuracy : 0.8978622555732727, loss : 0.6971017718315125
traing iter: 267, test accuracy : 0.879199206829071, loss : 0.6824651956558228
traing iter: 268, test accuracy : 0.891414999961853, loss : 0.7038556337356567
traing iter: 269, test accuracy : 0.8968442678451538, loss : 0.6761234998703003
traing iter: 270, test accuracy : 0.8808958530426025, loss : 0.7344952821731567
traing iter: 271, test accuracy : 0.8676620125770569, loss : 0.7534363269805908
traing iter: 272, test accuracy : 0.8764845728874207, loss : 0.7432811856269836
traing iter: 273, test accuracy : 0.8836104273796082, loss : 0.6813944578170776
traing iter: 274, test accuracy : 0.8971835970878601, loss : 0.6619646549224854
traing iter: 275, test accuracy : 0.8839497566223145, loss : 0.7421691417694092
traing iter: 276, test accuracy : 0.8873430490493774, loss : 0.6511263847351074
traing iter: 277, test accuracy : 0.9005768299102783, loss : 0.6618472337722778
traing iter: 278, test accuracy : 0.8975229263305664, loss : 0.6642299890518188
traing iter: 279, test accuracy : 0.8978622555732727, loss : 0.6543552875518799
traing iter: 280, test accuracy : 0.898201584815979, loss : 0.6919540762901306
traing iter: 281, test accuracy : 0.8985409140586853, loss : 0.6512166261672974
traing iter: 282, test accuracy : 0.8971835970878601, loss : 0.6549952626228333
traing iter: 283, test accuracy : 0.903630793094635, loss : 0.6632910966873169
traing iter: 284, test accuracy : 0.8978622555732727, loss : 0.6764242649078369
traing iter: 285, test accuracy : 0.9005768299102783, loss : 0.6937965154647827
traing iter: 286, test accuracy : 0.8737699389457703, loss : 0.662075400352478
traing iter: 287, test accuracy : 0.8992195725440979, loss : 0.6578025817871094
traing iter: 288, test accuracy : 0.8832710981369019, loss : 0.7079379558563232
traing iter: 289, test accuracy : 0.8951476216316223, loss : 0.6547656059265137
traing iter: 290, test accuracy : 0.8853070735931396, loss : 0.6985306143760681
traing iter: 291, test accuracy : 0.8937903046607971, loss : 0.6605080962181091
traing iter: 292, test accuracy : 0.8954869508743286, loss : 0.6300526857376099
traing iter: 293, test accuracy : 0.8951476216316223, loss : 0.6262650489807129
traing iter: 294, test accuracy : 0.8887003660202026, loss : 0.6497164964675903
traing iter: 295, test accuracy : 0.9012554883956909, loss : 0.6343613862991333
traing iter: 296, test accuracy : 0.8900576829910278, loss : 0.6686853170394897
traing iter: 297, test accuracy : 0.8992195725440979, loss : 0.6405316591262817
traing iter: 298, test accuracy : 0.894808292388916, loss : 0.6295719146728516
traing iter: 299, test accuracy : 0.8975229263305664, loss : 0.6451783180236816

final test accuracy: 0.8975229263305664
best epoch's test accuracy: 0.9110960364341736


C:\Users\Administrator\Desktop\LSTM-Human-Activity-Recognition-master>
